Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27
"France",10.9185441941075,10.9185441941075,10.9185441941075,10.9185441941075,10.9185441941075,12.1317157712305,12.1951219512195,12.1951219512195,12.1951219512195,12.1951219512195,18.1975736568458,18.1975736568458,18.8908145580589,18.8908145580589,18.8908145580589,26.8630849220104,26.8630849220104,26.1698440207972,26.1698440207972,26.1698440207972,38.9948006932409,39.5833333333333,39.6880415944541,39.5147313691508,39.5147313691508
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14285714285714
"Gabon",8.33333333333333,8.33333333333333,8.33333333333333,9.16666666666667,9.16666666666667,9.2436974789916,9.2436974789916,9.2436974789916,9.2436974789916,12.5,16.6666666666667,16.6666666666667,14.6551724137931,14.6551724137931,14.1666666666667,15.7894736842105,15.7894736842105,15,14.1666666666667,14.1666666666667,17.0940170940171,NaN,17.910447761194,14.7887323943662,16.1971830985916
"United Kingdom",18.2094081942337,18.2094081942337,18.361153262519,18.361153262519,17.9059180576631,17.9059180576631,17.9059180576631,18.0576631259484,19.6594427244582,19.6594427244582,19.5046439628483,19.5046439628483,19.5046439628483,22,22.3076923076923,22.4615384615385,22.4615384615385,22.6153846153846,29.3846153846154,29.5839753466872,32,32.1538461538462,32,33.8461538461538,34.2592592592593
"Georgia",6.92640692640693,6.92640692640693,NaN,7.23404255319149,7.23404255319149,7.23404255319149,7.23404255319149,9.36170212765957,9.36170212765957,9.36170212765957,9.36170212765957,6,5.10948905109489,6.52173913043478,6.56934306569343,12,12,12,11.3333333333333,16,16,16,14.7651006711409,20.6666666666667,19.3333333333333
"Ghana",9,9,9,NaN,9,9,9,10.8695652173913,10.8695652173913,10.8695652173913,10.8695652173913,7.89473684210526,8.26086956521739,8.26086956521739,8.26086956521739,NaN,10.9090909090909,10.9090909090909,10.9090909090909,10.9090909090909,12.7272727272727,12.7272727272727,13.0909090909091,13.0909090909091,14.5454545454545
"Guinea",7.01754385964912,8.7719298245614,8.7719298245614,8.7719298245614,8.7719298245614,NaN,19.2982456140351,19.2982456140351,19.2982456140351,19.2982456140351,19.2982456140351,NaN,NaN,NaN,NaN,NaN,NaN,21.9298245614035,21.9298245614035,21.9298245614035,21.9298245614035,21.9298245614035,22.8070175438596,16.6666666666667,NaN
"Gambia, The",2.04081632653061,2.04081632653061,2.04081632653061,2.04081632653061,2.04081632653061,5.66037735849057,13.2075471698113,13.2075471698113,13.2075471698113,13.2075471698113,9.43396226415094,9.43396226415094,7.54716981132075,7.54716981132075,7.54716981132075,7.54716981132075,7.54716981132075,9.43396226415094,9.43396226415094,9.43396226415094,10.3448275862069,10.3448275862069,10.3448275862069,8.62068965517241,8.62068965517241
"Guinea-Bissau",10,10,NaN,7.84313725490196,7.84313725490196,7.84313725490196,NaN,14,14,14,14,10,10,10,10,14,14,13.7254901960784,13.7254901960784,13.7254901960784,13.7254901960784,13.7254901960784,13.7254901960784,13.7254901960784,13.7254901960784
"Equatorial Guinea",8.75,8.75,5,5,5,5,5,18,18,18,18,6,10,10,10,10,12.1212121212121,24,24,24,NaN,20,21,21,23
"Greece",6.33333333333333,6.33333333333333,6.33333333333333,8.66666666666667,8.66666666666667,8.66666666666667,8.66666666666667,14,13,13,14.6666666666667,14.6666666666667,17.3333333333333,17.3333333333333,18.6666666666667,21,21,21,19.6666666666667,19.6666666666667,18.3333333333333,18.6666666666667,20.6666666666667,21.6666666666667,21.6666666666667
